rental_id;rental_date;inventory_id;customer_id;name_customer;staff_id;film_id;store_id;category_id;categoria
26;2005-05-25 03:36:50.000;4116;2;Patricia Johnson;1;895;1;4;Classics
27;2005-05-25 03:41:50.000;2760;2;Patricia Johnson;1;606;1;15;Sports
28;2005-05-25 03:42:37.000;741;2;Patricia Johnson;1;162;1;1;Action
29;2005-05-25 03:47:12.000;488;2;Patricia Johnson;2;109;2;13;New
30;2005-05-25 04:01:32.000;2053;2;Patricia Johnson;2;446;2;15;Sports
31;2005-05-25 04:05:17.000;1937;2;Patricia Johnson;2;421;2;9;Foreign
32;2005-05-25 04:06:21.000;626;2;Patricia Johnson;2;136;2;13;New
33;2005-05-25 04:18:51.000;4038;2;Patricia Johnson;1;879;1;12;Music
34;2005-05-25 04:19:28.000;2377;2;Patricia Johnson;2;518;2;16;Travel
35;2005-05-25 04:24:36.000;4030;2;Patricia Johnson;1;878;1;16;Travel
36;2005-05-25 04:36:26.000;1382;2;Patricia Johnson;1;303;1;1;Action
37;2005-05-25 04:44:31.000;4088;2;Patricia Johnson;1;891;1;4;Classics
38;2005-05-25 04:47:44.000;3084;2;Patricia Johnson;2;678;2;15;Sports
39;2005-05-25 04:51:46.000;3142;2;Patricia Johnson;1;690;1;2;Animation
40;2005-05-25 05:09:04.000;138;2;Patricia Johnson;1;27;1;15;Sports
41;2005-05-25 05:12:29.000;3418;2;Patricia Johnson;1;748;1;1;Action
42;2005-05-25 05:24:58.000;654;2;Patricia Johnson;2;142;2;6;Documentary
43;2005-05-25 05:39:25.000;3328;3;Linda Williams;2;732;2;1;Action
44;2005-05-25 05:53:23.000;3464;3;Linda Williams;1;759;1;13;New
45;2005-05-25 05:59:39.000;3913;3;Linda Williams;1;854;1;11;Horror
46;2005-05-25 06:04:08.000;116;3;Linda Williams;2;23;2;2;Animation
47;2005-05-25 06:05:20.000;910;3;Linda Williams;2;202;2;5;Comedy
48;2005-05-25 06:20:46.000;3917;3;Linda Williams;2;855;2;6;Documentary
49;2005-05-25 06:39:35.000;1704;3;Linda Williams;1;371;1;1;Action
50;2005-05-25 06:44:53.000;2058;3;Linda Williams;2;447;2;10;Games
51;2005-05-25 06:49:10.000;2575;3;Linda Williams;2;563;2;10;Games
52;2005-05-25 06:51:29.000;579;3;Linda Williams;2;126;2;1;Action
53;2005-05-25 07:19:16.000;2150;3;Linda Williams;1;464;1;2;Animation
54;2005-05-25 07:23:25.000;346;3;Linda Williams;1;77;1;13;New
55;2005-05-25 08:26:13.000;390;3;Linda Williams;1;86;1;12;Music
56;2005-05-25 08:28:11.000;1182;3;Linda Williams;2;263;2;15;Sports
57;2005-05-25 08:43:32.000;3261;3;Linda Williams;2;717;2;1;Action
58;2005-05-25 08:53:14.000;4315;3;Linda Williams;1;940;1;15;Sports
59;2005-05-25 08:56:42.000;1675;3;Linda Williams;1;366;1;7;Drama
60;2005-05-25 08:58:25.000;2829;3;Linda Williams;1;621;1;8;Family
61;2005-05-25 09:01:57.000;4560;3;Linda Williams;2;995;2;11;Horror
62;2005-05-25 09:18:52.000;3292;3;Linda Williams;1;725;1;4;Classics
63;2005-05-25 09:19:16.000;1075;4;Barbara Jones;1;239;1;2;Animation
64;2005-05-25 09:21:29.000;280;4;Barbara Jones;1;63;1;8;Family
65;2005-05-25 09:32:03.000;185;4;Barbara Jones;1;42;1;15;Sports
66;2005-05-25 09:35:12.000;97;4;Barbara Jones;1;19;1;1;Action
67;2005-05-25 09:41:01.000;2495;4;Barbara Jones;2;547;2;3;Children
68;2005-05-25 09:47:31.000;2065;4;Barbara Jones;1;448;1;13;New
69;2005-05-25 10:10:14.000;4385;4;Barbara Jones;2;958;2;7;Drama
70;2005-05-25 10:15:23.000;3587;4;Barbara Jones;2;784;2;16;Travel
71;2005-05-25 10:26:39.000;165;4;Barbara Jones;2;35;2;11;Horror
72;2005-05-25 10:52:13.000;4117;4;Barbara Jones;1;895;1;4;Classics
73;2005-05-25 11:00:07.000;2980;4;Barbara Jones;1;653;1;11;Horror
74;2005-05-25 11:09:48.000;57;4;Barbara Jones;1;11;1;9;Foreign
75;2005-05-25 11:13:34.000;4124;5;Elizabeth Brown;1;896;1;3;Children
76;2005-05-25 11:30:37.000;301;5;Elizabeth Brown;1;68;1;3;Children
77;2005-05-25 11:31:59.000;3998;5;Elizabeth Brown;1;870;1;11;Horror
78;2005-05-25 11:35:18.000;3277;5;Elizabeth Brown;2;722;2;11;Horror
79;2005-05-25 12:11:07.000;2466;5;Elizabeth Brown;1;539;1;7;Drama
80;2005-05-25 12:12:07.000;4323;5;Elizabeth Brown;1;941;1;10;Games
81;2005-05-25 12:15:19.000;1105;5;Elizabeth Brown;1;245;1;2;Animation
82;2005-05-25 12:17:46.000;1183;5;Elizabeth Brown;1;263;1;15;Sports
83;2005-05-25 12:30:15.000;600;5;Elizabeth Brown;2;131;2;4;Classics
84;2005-05-25 12:36:30.000;4463;5;Elizabeth Brown;2;975;2;8;Family
85;2005-05-25 13:05:34.000;1871;5;Elizabeth Brown;1;408;1;10;Games
86;2005-05-25 13:36:12.000;957;5;Elizabeth Brown;2;213;2;8;Family
87;2005-05-25 13:52:43.000;416;5;Elizabeth Brown;2;91;2;4;Classics
88;2005-05-25 14:13:54.000;2348;5;Elizabeth Brown;2;511;2;1;Action
89;2005-05-25 14:28:29.000;2153;5;Elizabeth Brown;1;465;1;13;New
90;2005-05-25 14:31:25.000;4364;5;Elizabeth Brown;1;951;1;4;Classics
91;2005-05-25 14:57:22.000;1434;5;Elizabeth Brown;1;314;1;2;Animation
92;2005-05-25 15:38:46.000;3333;5;Elizabeth Brown;2;733;2;15;Sports
93;2005-05-25 15:54:16.000;92;5;Elizabeth Brown;2;18;2;2;Animation
94;2005-05-25 16:03:42.000;111;5;Elizabeth Brown;1;22;1;13;New
95;2005-05-25 16:12:52.000;28;5;Elizabeth Brown;2;6;2;9;Foreign
96;2005-05-25 16:32:19.000;711;5;Elizabeth Brown;1;155;1;13;New
97;2005-05-25 16:34:24.000;1522;5;Elizabeth Brown;1;333;1;12;Music
98;2005-05-25 16:48:24.000;4400;5;Elizabeth Brown;2;962;2;4;Classics
99;2005-05-25 16:50:20.000;2587;5;Elizabeth Brown;2;568;2;5;Comedy
100;2005-05-25 16:50:28.000;3022;5;Elizabeth Brown;1;663;1;4;Classics
101;2005-05-25 17:17:04.000;3701;5;Elizabeth Brown;1;810;1;8;Family
102;2005-05-25 17:22:10.000;3938;6;Jennifer Davis;2;858;2;5;Comedy
103;2005-05-25 17:30:42.000;375;6;Jennifer Davis;2;83;2;8;Family
104;2005-05-25 17:46:33.000;1290;6;Jennifer Davis;1;285;1;14;Sci-Fi
105;2005-05-25 17:54:12.000;3317;6;Jennifer Davis;2;730;2;13;New
106;2005-05-25 18:18:19.000;2363;6;Jennifer Davis;1;514;1;7;Drama
107;2005-05-25 18:28:09.000;2085;6;Jennifer Davis;1;452;1;9;Foreign
108;2005-05-25 18:30:05.000;1818;6;Jennifer Davis;2;395;2;1;Action
109;2005-05-25 18:40:20.000;1261;6;Jennifer Davis;2;280;2;3;Children
110;2005-05-25 18:43:49.000;3693;6;Jennifer Davis;2;807;2;10;Games
111;2005-05-25 18:45:19.000;1686;6;Jennifer Davis;2;367;2;14;Sci-Fi
112;2005-05-25 18:57:24.000;2699;6;Jennifer Davis;2;592;2;12;Music
113;2005-05-25 19:07:40.000;2686;6;Jennifer Davis;1;590;1;13;New
114;2005-05-25 19:12:42.000;3804;6;Jennifer Davis;2;833;2;3;Children
115;2005-05-25 19:13:25.000;3136;6;Jennifer Davis;2;689;2;9;Foreign
116;2005-05-25 19:27:51.000;1929;6;Jennifer Davis;1;418;1;7;Drama
117;2005-05-25 19:30:46.000;731;6;Jennifer Davis;1;160;1;2;Animation
118;2005-05-25 19:31:18.000;3692;6;Jennifer Davis;1;807;1;10;Games
119;2005-05-25 19:37:02.000;3617;6;Jennifer Davis;1;790;1;7;Drama
120;2005-05-25 19:37:47.000;3318;7;Maria Miller;2;730;2;13;New
121;2005-05-25 19:41:29.000;4278;7;Maria Miller;2;931;2;16;Travel
122;2005-05-25 19:46:21.000;2803;7;Maria Miller;1;615;1;2;Animation
123;2005-05-25 20:26:42.000;3109;7;Maria Miller;2;683;2;7;Drama
124;2005-05-25 20:46:11.000;2484;7;Maria Miller;1;545;1;9;Foreign
125;2005-05-25 20:48:50.000;2368;7;Maria Miller;1;516;1;12;Music
126;2005-05-25 21:07:59.000;4042;7;Maria Miller;2;880;2;2;Animation
127;2005-05-25 21:10:40.000;2877;7;Maria Miller;2;631;2;15;Sports
128;2005-05-25 21:19:53.000;468;7;Maria Miller;2;103;2;16;Travel
129;2005-05-25 21:20:03.000;1950;7;Maria Miller;2;424;2;3;Children
130;2005-05-25 21:21:56.000;2812;7;Maria Miller;2;617;2;8;Family
131;2005-05-25 21:42:46.000;3024;7;Maria Miller;2;664;2;1;Action
132;2005-05-25 21:46:54.000;3929;7;Maria Miller;2;857;2;5;Comedy
133;2005-05-25 21:48:30.000;2441;7;Maria Miller;2;532;2;15;Sports
134;2005-05-25 21:48:41.000;3913;7;Maria Miller;1;854;1;11;Horror
135;2005-05-25 21:58:58.000;3920;7;Maria Miller;1;856;1;11;Horror
136;2005-05-25 22:02:30.000;3123;7;Maria Miller;2;687;2;6;Documentary
137;2005-05-25 22:25:18.000;1393;7;Maria Miller;1;305;1;13;New
138;2005-05-25 22:48:22.000;3645;7;Maria Miller;2;796;2;15;Sports
139;2005-05-25 23:00:21.000;3104;7;Maria Miller;1;682;1;8;Family
140;2005-05-25 23:34:22.000;3480;7;Maria Miller;1;763;1;15;Sports
141;2005-05-25 23:34:53.000;1580;7;Maria Miller;2;346;2;4;Classics
142;2005-05-25 23:43:47.000;739;7;Maria Miller;1;162;1;1;Action
143;2005-05-25 23:45:52.000;1512;7;Maria Miller;2;330;2;2;Animation
144;2005-05-25 23:49:56.000;4374;7;Maria Miller;1;953;1;2;Animation
145;2005-05-25 23:59:03.000;2272;7;Maria Miller;2;491;2;3;Children
146;2005-05-26 00:07:11.000;2867;8;Susan Wilson;1;628;1;15;Sports
147;2005-05-26 00:17:50.000;187;8;Susan Wilson;2;42;2;15;Sports
148;2005-05-26 00:25:23.000;1907;8;Susan Wilson;2;415;2;11;Horror
149;2005-05-26 00:28:05.000;2388;8;Susan Wilson;2;521;2;7;Drama
150;2005-05-26 00:28:39.000;2189;8;Susan Wilson;2;473;2;7;Drama
151;2005-05-26 00:37:28.000;4054;8;Susan Wilson;1;882;1;7;Drama
152;2005-05-26 00:41:10.000;1979;8;Susan Wilson;2;432;2;4;Classics
153;2005-05-26 00:47:47.000;3153;8;Susan Wilson;2;692;2;2;Animation
154;2005-05-26 00:55:56.000;1503;8;Susan Wilson;1;329;1;1;Action
155;2005-05-26 01:15:05.000;2520;8;Susan Wilson;1;554;1;4;Classics
156;2005-05-26 01:19:05.000;2522;8;Susan Wilson;2;554;2;4;Classics
157;2005-05-26 01:25:21.000;1936;8;Susan Wilson;2;421;2;9;Foreign
158;2005-05-26 01:27:11.000;1841;8;Susan Wilson;1;401;1;7;Drama
159;2005-05-26 01:34:28.000;3278;8;Susan Wilson;1;722;1;11;Horror
160;2005-05-26 01:46:20.000;2773;8;Susan Wilson;1;609;1;16;Travel
161;2005-05-26 01:51:48.000;8;8;Susan Wilson;1;1;1;6;Documentary
162;2005-05-26 02:02:05.000;2195;8;Susan Wilson;2;474;2;15;Sports
163;2005-05-26 02:26:23.000;2756;9;Margaret Moore;2;604;2;5;Comedy
164;2005-05-26 02:26:49.000;886;9;Margaret Moore;1;196;1;4;Classics
165;2005-05-26 02:28:36.000;2279;9;Margaret Moore;1;493;1;9;Foreign
166;2005-05-26 02:49:11.000;3926;9;Margaret Moore;2;856;2;11;Horror
167;2005-05-26 02:50:31.000;3773;9;Margaret Moore;1;826;1;16;Travel
168;2005-05-26 03:07:43.000;1395;9;Margaret Moore;1;305;1;13;New
169;2005-05-26 03:09:30.000;4279;9;Margaret Moore;1;931;1;16;Travel
170;2005-05-26 03:11:12.000;2484;9;Margaret Moore;2;545;2;9;Foreign
171;2005-05-26 03:14:15.000;4265;9;Margaret Moore;1;928;1;3;Children
172;2005-05-26 03:17:42.000;3483;9;Margaret Moore;2;763;2;15;Sports
173;2005-05-26 03:42:10.000;3540;9;Margaret Moore;1;774;1;5;Comedy
174;2005-05-26 03:44:10.000;3790;9;Margaret Moore;1;830;1;11;Horror
175;2005-05-26 03:46:26.000;2052;9;Margaret Moore;1;445;1;4;Classics
176;2005-05-26 03:47:39.000;4127;9;Margaret Moore;1;897;1;7;Drama
177;2005-05-26 04:14:29.000;2435;9;Margaret Moore;2;531;2;9;Foreign
178;2005-05-26 04:21:46.000;397;9;Margaret Moore;2;88;2;16;Travel
179;2005-05-26 04:26:06.000;3731;10;Dorothy Taylor;2;816;2;2;Animation
180;2005-05-26 04:46:23.000;1015;10;Dorothy Taylor;1;227;1;10;Games
181;2005-05-26 04:47:06.000;1866;10;Dorothy Taylor;1;407;1;6;Documentary
182;2005-05-26 04:49:17.000;3834;10;Dorothy Taylor;2;840;2;10;Games
183;2005-05-26 05:01:18.000;1783;10;Dorothy Taylor;2;387;2;10;Games
184;2005-05-26 05:29:49.000;1569;10;Dorothy Taylor;1;344;1;3;Children
185;2005-05-26 05:30:03.000;1711;10;Dorothy Taylor;1;373;1;3;Children
186;2005-05-26 05:32:52.000;50;10;Dorothy Taylor;1;10;1;15;Sports
187;2005-05-26 05:42:37.000;749;10;Dorothy Taylor;1;164;1;6;Documentary
188;2005-05-26 05:47:12.000;3086;10;Dorothy Taylor;2;678;2;15;Sports
189;2005-05-26 06:01:41.000;2937;10;Dorothy Taylor;1;645;1;16;Travel
190;2005-05-26 06:11:28.000;2968;10;Dorothy Taylor;2;650;2;6;Documentary
191;2005-05-26 06:14:06.000;3891;10;Dorothy Taylor;1;850;1;1;Action
192;2005-05-26 06:20:37.000;80;10;Dorothy Taylor;2;16;2;9;Foreign
193;2005-05-26 06:41:48.000;2570;10;Dorothy Taylor;1;563;1;10;Games
194;2005-05-26 06:52:33.000;3826;10;Dorothy Taylor;2;838;2;1;Action
195;2005-05-26 06:52:36.000;2247;10;Dorothy Taylor;1;486;1;9;Foreign
196;2005-05-26 06:55:58.000;4430;10;Dorothy Taylor;1;969;1;7;Drama
197;2005-05-26 06:59:21.000;390;11;Lisa Anderson;1;86;1;12;Music
198;2005-05-26 07:03:49.000;4044;11;Lisa Anderson;1;880;1;2;Animation
199;2005-05-26 07:11:58.000;605;11;Lisa Anderson;2;131;2;4;Classics
200;2005-05-26 07:12:21.000;3713;11;Lisa Anderson;1;812;1;6;Documentary
201;2005-05-26 07:13:45.000;758;11;Lisa Anderson;1;166;1;4;Classics
202;2005-05-26 07:27:36.000;2732;11;Lisa Anderson;2;599;2;15;Sports
203;2005-05-26 07:27:57.000;800;11;Lisa Anderson;2;174;2;12;Music
204;2005-05-26 07:30:37.000;3374;11;Lisa Anderson;2;740;2;11;Horror
205;2005-05-26 07:59:37.000;1376;11;Lisa Anderson;2;302;2;10;Games
206;2005-05-26 08:01:54.000;2339;11;Lisa Anderson;1;508;1;10;Games
207;2005-05-26 08:04:38.000;2859;11;Lisa Anderson;2;626;2;3;Children
208;2005-05-26 08:10:22.000;930;11;Lisa Anderson;2;206;2;6;Documentary
209;2005-05-26 08:14:01.000;860;11;Lisa Anderson;1;189;1;10;Games
210;2005-05-26 08:14:15.000;3015;11;Lisa Anderson;1;662;1;7;Drama
211;2005-05-26 08:33:10.000;1702;11;Lisa Anderson;2;370;2;3;Children
212;2005-05-26 08:34:41.000;3762;11;Lisa Anderson;1;823;1;1;Action
213;2005-05-26 08:44:08.000;1364;12;Nancy Thomas;1;301;1;11;Horror
214;2005-05-26 08:48:49.000;4577;12;Nancy Thomas;1;1000;1;5;Comedy
215;2005-05-26 09:02:47.000;3529;12;Nancy Thomas;2;772;2;7;Drama
216;2005-05-26 09:17:43.000;3739;12;Nancy Thomas;2;818;2;7;Drama
217;2005-05-26 09:24:26.000;4241;12;Nancy Thomas;1;922;1;11;Horror
218;2005-05-26 09:27:09.000;4477;12;Nancy Thomas;2;978;2;5;Comedy
219;2005-05-26 09:41:45.000;1122;12;Nancy Thomas;1;249;1;4;Classics
220;2005-05-26 10:06:49.000;4250;12;Nancy Thomas;2;924;2;14;Sci-Fi
221;2005-05-26 10:14:09.000;3357;12;Nancy Thomas;1;737;1;11;Horror
222;2005-05-26 10:14:38.000;4358;12;Nancy Thomas;1;949;1;10;Games
223;2005-05-26 10:15:23.000;1379;12;Nancy Thomas;1;303;1;1;Action
224;2005-05-26 10:18:27.000;2875;12;Nancy Thomas;2;630;2;7;Drama
225;2005-05-26 10:27:50.000;848;12;Nancy Thomas;1;186;1;7;Drama
226;2005-05-26 10:44:04.000;3346;12;Nancy Thomas;2;735;2;3;Children
227;2005-05-26 10:51:46.000;3659;12;Nancy Thomas;2;799;2;11;Horror
228;2005-05-26 10:54:28.000;1424;12;Nancy Thomas;2;311;2;9;Foreign
229;2005-05-26 11:19:20.000;3179;12;Nancy Thomas;2;697;2;1;Action
230;2005-05-26 11:31:50.000;308;12;Nancy Thomas;1;69;1;14;Sci-Fi
231;2005-05-26 11:31:59.000;3356;12;Nancy Thomas;2;737;2;11;Horror
232;2005-05-26 11:38:05.000;471;12;Nancy Thomas;2;103;2;16;Travel
233;2005-05-26 11:43:44.000;3264;12;Nancy Thomas;1;719;1;15;Sports
234;2005-05-26 11:47:20.000;3017;12;Nancy Thomas;1;662;1;7;Drama
235;2005-05-26 11:51:09.000;980;13;Karen Jackson;1;218;1;7;Drama
236;2005-05-26 11:53:49.000;2441;13;Karen Jackson;2;532;2;15;Sports
237;2005-05-26 12:15:13.000;3759;13;Karen Jackson;1;823;1;1;Action
238;2005-05-26 12:30:22.000;624;13;Karen Jackson;2;135;2;15;Sports
239;2005-05-26 12:30:26.000;294;13;Karen Jackson;1;67;1;1;Action
240;2005-05-26 12:40:23.000;3013;13;Karen Jackson;1;661;1;9;Foreign
241;2005-05-26 12:49:01.000;4203;13;Karen Jackson;2;914;2;16;Travel
242;2005-05-26 13:05:08.000;3102;13;Karen Jackson;2;681;2;15;Sports
243;2005-05-26 13:06:05.000;170;13;Karen Jackson;1;37;1;4;Classics
244;2005-05-26 13:40:40.000;3877;13;Karen Jackson;1;847;1;13;New
245;2005-05-26 13:46:59.000;1296;13;Karen Jackson;2;286;2;16;Travel
246;2005-05-26 13:57:07.000;3520;13;Karen Jackson;1;771;1;7;Drama
247;2005-05-26 14:01:05.000;3969;13;Karen Jackson;2;865;2;2;Animation
248;2005-05-26 14:07:58.000;3792;13;Karen Jackson;2;830;2;11;Horror
249;2005-05-26 14:19:09.000;360;13;Karen Jackson;2;79;2;7;Drama
250;2005-05-26 14:30:24.000;2072;13;Karen Jackson;2;449;2;14;Sci-Fi
251;2005-05-26 14:35:40.000;1603;13;Karen Jackson;1;350;1;14;Sci-Fi
252;2005-05-26 14:39:53.000;2942;14;Betty White;1;646;1;10;Games
253;2005-05-26 14:43:14.000;4319;14;Betty White;2;941;2;10;Games
254;2005-05-26 14:43:48.000;1817;14;Betty White;1;395;1;1;Action
255;2005-05-26 14:52:15.000;1027;14;Betty White;2;230;2;7;Drama
256;2005-05-26 15:20:58.000;3757;14;Betty White;1;822;1;8;Family
257;2005-05-26 15:27:05.000;4107;14;Betty White;2;893;2;14;Sci-Fi
258;2005-05-26 15:28:14.000;1080;14;Betty White;2;241;2;2;Animation
259;2005-05-26 15:32:46.000;459;14;Betty White;1;101;1;6;Documentary
260;2005-05-26 15:42:20.000;2109;14;Betty White;1;457;1;6;Documentary
261;2005-05-26 15:44:23.000;2693;14;Betty White;2;591;2;10;Games
262;2005-05-26 15:46:56.000;573;14;Betty White;1;124;1;3;Children
263;2005-05-26 15:47:40.000;3368;14;Betty White;1;739;1;7;Drama
264;2005-05-26 16:00:49.000;1503;14;Betty White;1;329;1;1;Action
265;2005-05-26 16:07:38.000;4325;14;Betty White;2;942;2;7;Drama
266;2005-05-26 16:08:05.000;3366;14;Betty White;2;738;2;9;Foreign
267;2005-05-26 16:16:21.000;3265;14;Betty White;2;719;2;15;Sports
268;2005-05-26 16:19:08.000;121;14;Betty White;2;24;2;11;Horror
269;2005-05-26 16:19:46.000;1828;14;Betty White;1;397;1;14;Sci-Fi
270;2005-05-26 16:20:56.000;2076;14;Betty White;2;450;2;3;Children
271;2005-05-26 16:22:01.000;27;14;Betty White;1;6;1;9;Foreign
272;2005-05-26 16:27:11.000;268;15;Helen Harris;1;59;1;3;Children
273;2005-05-26 16:29:36.000;1998;15;Helen Harris;1;435;1;9;Foreign
274;2005-05-26 16:48:51.000;4017;15;Helen Harris;2;875;2;15;Sports
275;2005-05-26 17:09:53.000;2417;15;Helen Harris;2;527;2;11;Horror
276;2005-05-26 17:16:07.000;1774;15;Helen Harris;2;385;2;5;Comedy
277;2005-05-26 17:32:11.000;529;15;Helen Harris;1;116;1;4;Classics
278;2005-05-26 17:40:58.000;2997;15;Helen Harris;1;657;1;5;Comedy
279;2005-05-26 18:02:50.000;864;15;Helen Harris;2;190;2;4;Classics
280;2005-05-26 18:36:58.000;2402;15;Helen Harris;2;525;2;4;Classics
281;2005-05-26 18:49:35.000;4453;15;Helen Harris;1;973;1;6;Documentary
282;2005-05-26 18:56:26.000;272;15;Helen Harris;1;61;1;7;Drama
283;2005-05-26 19:05:05.000;1619;15;Helen Harris;2;353;2;9;Foreign
284;2005-05-26 19:21:44.000;1411;16;Sandra Martin;2;309;2;8;Family
285;2005-05-26 19:41:40.000;1810;16;Sandra Martin;2;393;2;6;Documentary
286;2005-05-26 19:44:51.000;2727;16;Sandra Martin;2;598;2;15;Sports
287;2005-05-26 19:44:54.000;1242;16;Sandra Martin;1;274;1;6;Documentary
288;2005-05-26 19:47:49.000;4000;16;Sandra Martin;2;871;2;5;Comedy
289;2005-05-26 20:01:09.000;318;16;Sandra Martin;2;71;2;8;Family
290;2005-05-26 20:08:33.000;3970;16;Sandra Martin;2;865;2;2;Animation
291;2005-05-26 20:20:47.000;2945;16;Sandra Martin;2;646;2;10;Games
292;2005-05-26 20:22:12.000;4498;16;Sandra Martin;2;982;2;1;Action
293;2005-05-26 20:27:02.000;2800;16;Sandra Martin;1;615;1;2;Animation
294;2005-05-26 20:29:57.000;2975;16;Sandra Martin;1;651;1;2;Animation
295;2005-05-26 20:33:20.000;453;16;Sandra Martin;2;100;2;9;Foreign
296;2005-05-26 20:35:19.000;3485;16;Sandra Martin;2;764;2;15;Sports
297;2005-05-26 20:48:48.000;3732;16;Sandra Martin;2;816;2;2;Animation
298;2005-05-26 20:52:26.000;2166;16;Sandra Martin;1;468;1;3;Children
299;2005-05-26 20:55:36.000;4312;16;Sandra Martin;2;939;2;5;Comedy
300;2005-05-26 20:57:00.000;4017;16;Sandra Martin;2;875;2;15;Sports
301;2005-05-26 21:06:14.000;3110;16;Sandra Martin;1;683;1;7;Drama
302;2005-05-26 21:13:46.000;3191;16;Sandra Martin;2;700;2;8;Family
303;2005-05-26 21:16:52.000;2049;16;Sandra Martin;1;445;1;4;Classics
304;2005-05-26 21:21:28.000;3631;17;Donna Thompson;1;792;1;9;Foreign
305;2005-05-26 21:22:07.000;3515;17;Donna Thompson;2;770;2;9;Foreign
306;2005-05-26 21:31:57.000;4079;17;Donna Thompson;1;889;1;3;Children
307;2005-05-26 21:48:13.000;4038;17;Donna Thompson;2;879;2;12;Music
308;2005-05-26 22:01:39.000;1225;17;Donna Thompson;2;271;2;1;Action
309;2005-05-26 22:38:10.000;3828;17;Donna Thompson;2;838;2;1;Action
310;2005-05-26 22:41:07.000;3706;17;Donna Thompson;1;810;1;8;Family
311;2005-05-26 22:51:37.000;2820;17;Donna Thompson;2;619;2;15;Sports
312;2005-05-26 22:52:19.000;3642;17;Donna Thompson;1;795;1;8;Family
313;2005-05-26 22:56:19.000;214;17;Donna Thompson;2;48;2;3;Children
314;2005-05-26 23:09:41.000;3816;17;Donna Thompson;2;835;2;10;Games
315;2005-05-26 23:12:55.000;1877;17;Donna Thompson;2;409;2;3;Children
316;2005-05-26 23:22:55.000;2550;17;Donna Thompson;2;559;2;14;Sci-Fi
317;2005-05-26 23:23:56.000;2127;17;Donna Thompson;2;460;2;9;Foreign
318;2005-05-26 23:37:39.000;4011;17;Donna Thompson;2;873;2;3;Children
319;2005-05-26 23:52:13.000;1983;18;Carol Garcia;2;432;2;4;Classics
320;2005-05-27 00:09:24.000;4453;18;Carol Garcia;1;973;1;6;Documentary
322;2005-05-27 00:47:35.000;800;18;Carol Garcia;2;174;2;12;Music
323;2005-05-27 00:49:27.000;3560;18;Carol Garcia;2;778;2;8;Family
324;2005-05-27 01:00:04.000;50;18;Carol Garcia;1;10;1;15;Sports
325;2005-05-27 01:09:55.000;1629;18;Carol Garcia;2;356;2;3;Children
326;2005-05-27 01:10:11.000;4559;18;Carol Garcia;2;995;2;11;Horror
327;2005-05-27 01:18:57.000;1922;18;Carol Garcia;1;417;1;1;Action
328;2005-05-27 01:29:31.000;3375;18;Carol Garcia;1;740;1;11;Horror
329;2005-05-27 01:57:14.000;932;18;Carol Garcia;2;206;2;6;Documentary
330;2005-05-27 02:15:30.000;2050;18;Carol Garcia;1;445;1;4;Classics
331;2005-05-27 02:22:26.000;1214;18;Carol Garcia;1;270;1;13;New
332;2005-05-27 02:27:10.000;2141;18;Carol Garcia;2;463;2;15;Sports
333;2005-05-27 02:52:21.000;2784;18;Carol Garcia;2;611;2;4;Classics
334;2005-05-27 03:03:07.000;790;18;Carol Garcia;1;173;1;7;Drama
