rental_id,inventory_id,customer_id,staff_id,film_id,store_id,category_id,name,rental_duration,rental_rate,replacement_cost,name_customer,data_aluguel,retorno_aluguel
8904,3622,575,1,790,2,7,Drama,6,0.99,22.99,Isaac Oglesby,2005-07-30,2005-08-04
17,830,575,1,181,2,16,Travel,7,2.99,10.99,Isaac Oglesby,2005-05-25,2005-05-27
395,752,575,1,164,2,6,Documentary,4,0.99,20.99,Isaac Oglesby,2005-05-27,2005-05-31
1494,244,575,1,55,1,14,Sci-Fi,6,2.99,27.99,Isaac Oglesby,2005-06-15,2005-06-19
8989,954,575,1,212,2,1,Action,7,4.99,14.99,Isaac Oglesby,2005-07-30,2005-08-06
5875,964,575,2,215,1,10,Games,4,4.99,27.99,Isaac Oglesby,2005-07-10,2005-07-18
10331,4152,575,1,902,1,15,Sports,6,4.99,22.99,Isaac Oglesby,2005-08-01,2005-08-07
8711,3471,575,1,760,2,13,New,5,2.99,21.99,Isaac Oglesby,2005-07-29,2005-07-31
1824,2269,575,1,490,1,13,New,4,2.99,13.99,Isaac Oglesby,2005-06-16,2005-06-18
2060,1523,64,1,333,1,12,Music,7,2.99,16.99,Judith Cox,2005-06-17,2005-06-22
6744,2565,64,1,562,1,12,Music,6,0.99,12.99,Judith Cox,2005-07-12,2005-07-14
1001,1498,64,2,328,2,3,Children,7,2.99,28.99,Judith Cox,2005-05-31,2005-06-06
7045,1788,64,2,388,2,5,Comedy,5,0.99,16.99,Judith Cox,2005-07-27,2005-08-01
8602,4002,64,2,871,2,5,Comedy,6,4.99,19.99,Judith Cox,2005-07-29,2005-08-03
7082,2032,64,2,443,1,5,Comedy,6,2.99,11.99,Judith Cox,2005-07-27,2005-07-30
6457,2970,64,1,651,1,2,Animation,3,0.99,20.99,Judith Cox,2005-07-12,2005-07-14
4288,1508,64,2,330,1,2,Animation,7,4.99,22.99,Judith Cox,2005-07-07,2005-07-13
5114,3734,64,1,816,2,2,Animation,3,0.99,27.99,Judith Cox,2005-07-09,2005-07-15
9924,1986,64,2,433,1,2,Animation,4,2.99,23.99,Judith Cox,2005-07-31,2005-08-05
10889,2098,64,1,455,1,9,Foreign,7,4.99,11.99,Judith Cox,2005-08-02,2005-08-07
494,1850,64,1,403,1,7,Drama,5,4.99,18.99,Judith Cox,2005-05-28,2005-06-02
3982,4327,64,2,942,2,7,Drama,7,0.99,27.99,Judith Cox,2005-07-06,2005-07-08
7476,2288,64,2,496,1,16,Travel,3,0.99,10.99,Judith Cox,2005-07-27,2005-07-31
9880,3590,64,2,785,1,16,Travel,6,4.99,20.99,Judith Cox,2005-07-31,2005-08-08
4690,3304,64,2,727,2,8,Family,6,0.99,12.99,Judith Cox,2005-07-08,2005-07-15
587,1413,64,2,309,2,8,Family,6,0.99,29.99,Judith Cox,2005-05-28,2005-05-30
4819,1342,64,1,295,2,6,Documentary,3,0.99,14.99,Judith Cox,2005-07-08,2005-07-16
6698,4419,64,2,966,2,6,Documentary,3,0.99,14.99,Judith Cox,2005-07-12,2005-07-16
4971,460,64,1,101,1,6,Documentary,3,0.99,26.99,Judith Cox,2005-07-08,2005-07-16
9832,3126,64,1,687,2,6,Documentary,6,0.99,15.99,Judith Cox,2005-07-31,2005-08-08
5432,1958,64,2,427,1,6,Documentary,5,0.99,19.99,Judith Cox,2005-07-09,2005-07-14
1335,1713,64,2,374,1,14,Sci-Fi,3,0.99,29.99,Judith Cox,2005-06-15,2005-06-16
6372,741,64,2,162,2,1,Action,4,2.99,13.99,Judith Cox,2005-07-11,2005-07-15
10185,1266,64,1,281,1,10,Games,6,0.99,9.99,Judith Cox,2005-08-01,2005-08-03
5279,709,64,2,155,1,13,New,6,0.99,26.99,Judith Cox,2005-07-09,2005-07-17
10714,1465,64,2,320,2,13,New,4,4.99,28.99,Judith Cox,2005-08-01,2005-08-04
5270,1523,128,1,333,1,12,Music,7,2.99,16.99,Marjorie Tucker,2005-07-09,2005-07-13
888,387,128,1,86,1,12,Music,6,4.99,11.99,Marjorie Tucker,2005-05-30,2005-06-06
3751,3652,128,1,797,2,12,Music,7,0.99,23.99,Marjorie Tucker,2005-07-06,2005-07-10
9952,1634,128,2,356,2,3,Children,5,2.99,10.99,Marjorie Tucker,2005-07-31,2005-08-06
6687,2736,128,1,600,2,11,Horror,5,0.99,16.99,Marjorie Tucker,2005-07-12,2005-07-19
8415,2903,128,1,638,1,5,Comedy,7,2.99,23.99,Marjorie Tucker,2005-07-29,2005-08-02
6481,2392,128,1,522,2,5,Comedy,4,2.99,9.99,Marjorie Tucker,2005-07-12,2005-07-20
5997,3542,128,1,774,1,5,Comedy,3,2.99,22.99,Marjorie Tucker,2005-07-11,2005-07-16
9433,1082,128,2,241,1,2,Animation,4,0.99,20.99,Marjorie Tucker,2005-07-30,2005-08-08
1131,2654,128,1,582,2,2,Animation,3,2.99,19.99,Marjorie Tucker,2005-05-31,2005-06-01
7582,3941,128,2,859,1,2,Animation,3,4.99,20.99,Marjorie Tucker,2005-07-27,2005-07-29
6186,2086,128,2,452,2,9,Foreign,4,0.99,15.99,Marjorie Tucker,2005-07-11,2005-07-17
9215,3591,128,1,785,1,16,Travel,6,4.99,20.99,Marjorie Tucker,2005-07-30,2005-08-06
10011,606,128,1,132,1,14,Sci-Fi,6,0.99,25.99,Marjorie Tucker,2005-07-31,2005-08-08
3995,3990,128,2,869,2,1,Action,4,2.99,22.99,Marjorie Tucker,2005-07-06,2005-07-13
9858,252,128,2,56,2,1,Action,6,2.99,15.99,Marjorie Tucker,2005-07-31,2005-08-03
2565,2347,128,2,511,1,1,Action,7,0.99,23.99,Marjorie Tucker,2005-06-19,2005-06-24
9234,1660,128,1,362,1,10,Games,7,2.99,13.99,Marjorie Tucker,2005-07-30,2005-08-02
10394,1655,128,1,361,2,15,Sports,5,2.99,25.99,Marjorie Tucker,2005-08-01,2005-08-05
2519,1172,128,1,260,2,15,Sports,3,4.99,9.99,Marjorie Tucker,2005-06-19,2005-06-25
5647,1466,128,2,321,1,13,New,3,4.99,21.99,Marjorie Tucker,2005-07-10,2005-07-13
7208,1523,138,1,333,1,12,Music,7,2.99,16.99,Hazel Warren,2005-07-27,2005-07-28
5679,389,138,1,86,1,12,Music,6,4.99,11.99,Hazel Warren,2005-07-10,2005-07-14
6892,1567,138,2,344,1,3,Children,3,0.99,28.99,Hazel Warren,2005-07-12,2005-07-13
523,1905,138,2,415,1,11,Horror,3,2.99,23.99,Hazel Warren,2005-05-28,2005-05-31
10268,2755,138,1,604,2,5,Comedy,4,0.99,10.99,Hazel Warren,2005-08-01,2005-08-08
10431,1074,138,2,239,2,2,Animation,5,4.99,16.99,Hazel Warren,2005-08-01,2005-08-07
11015,4331,138,2,944,2,7,Drama,6,4.99,29.99,Hazel Warren,2005-08-02,2005-08-08
11088,2739,138,2,601,1,16,Travel,4,0.99,20.99,Hazel Warren,2005-08-02,2005-08-05
8160,2446,138,2,534,1,8,Family,5,0.99,18.99,Hazel Warren,2005-07-28,2005-08-05
9619,1730,138,2,377,1,8,Family,7,0.99,20.99,Hazel Warren,2005-07-31,2005-08-05
5378,1570,138,2,345,1,8,Family,3,0.99,17.99,Hazel Warren,2005-07-09,2005-07-10
8424,366,138,2,80,1,8,Family,7,2.99,21.99,Hazel Warren,2005-07-29,2005-08-06
6458,2809,138,1,616,2,6,Documentary,4,2.99,19.99,Hazel Warren,2005-07-12,2005-07-16
5600,3713,138,2,812,2,6,Documentary,7,0.99,13.99,Hazel Warren,2005-07-10,2005-07-18
1316,3891,138,2,850,1,1,Action,7,0.99,27.99,Hazel Warren,2005-06-15,2005-06-21
9259,97,138,2,19,2,1,Action,6,0.99,20.99,Hazel Warren,2005-07-30,2005-08-06
10190,4411,138,2,964,1,1,Action,4,4.99,17.99,Hazel Warren,2005-08-01,2005-08-01
1020,3402,138,2,746,1,10,Games,3,0.99,10.99,Hazel Warren,2005-05-31,2005-06-02
8123,2256,138,1,488,1,15,Sports,3,0.99,23.99,Hazel Warren,2005-07-28,2005-08-04
3481,3575,138,2,782,2,15,Sports,6,2.99,26.99,Hazel Warren,2005-07-05,2005-07-07
9947,1173,138,1,260,2,15,Sports,3,4.99,9.99,Hazel Warren,2005-07-31,2005-08-08
10110,4081,138,2,890,1,15,Sports,5,0.99,14.99,Hazel Warren,2005-07-31,2005-08-03
2731,4218,138,2,917,1,15,Sports,3,2.99,24.99,Hazel Warren,2005-06-19,2005-06-27
2038,4231,138,2,920,1,13,New,3,0.99,16.99,Hazel Warren,2005-06-17,2005-06-19
7754,1981,138,1,432,1,4,Classics,4,2.99,22.99,Hazel Warren,2005-07-28,2005-07-29
2303,1524,329,1,333,2,12,Music,7,2.99,16.99,Frank Waggoner,2005-06-18,2005-06-22
2702,1736,329,2,378,1,12,Music,5,2.99,24.99,Frank Waggoner,2005-06-19,2005-06-20
2024,2566,329,1,562,1,12,Music,6,0.99,12.99,Frank Waggoner,2005-06-17,2005-06-22
9219,771,329,1,168,1,3,Children,5,0.99,23.99,Frank Waggoner,2005-07-30,2005-08-01
10473,3034,329,2,665,2,11,Horror,4,2.99,22.99,Frank Waggoner,2005-08-01,2005-08-10
9024,164,329,2,35,2,11,Horror,4,2.99,24.99,Frank Waggoner,2005-07-30,2005-08-05
3976,2424,329,2,529,1,5,Comedy,3,2.99,12.99,Frank Waggoner,2005-07-06,2005-07-07
3053,818,329,2,178,1,5,Comedy,6,0.99,25.99,Frank Waggoner,2005-06-20,2005-06-25
8941,4147,329,2,901,1,2,Animation,3,0.99,29.99,Frank Waggoner,2005-07-30,2005-08-02
1183,706,329,1,154,2,2,Animation,6,2.99,12.99,Frank Waggoner,2005-06-15,2005-06-20
9381,4064,329,2,886,1,2,Animation,5,0.99,9.99,Frank Waggoner,2005-07-30,2005-07-31
4674,1617,329,2,353,2,9,Foreign,6,2.99,22.99,Frank Waggoner,2005-07-08,2005-07-12
4415,1403,329,2,307,2,16,Travel,6,4.99,9.99,Frank Waggoner,2005-07-07,2005-07-13
3052,2359,329,2,513,2,16,Travel,6,2.99,21.99,Frank Waggoner,2005-06-20,2005-06-29
8172,1237,329,1,274,1,6,Documentary,4,2.99,20.99,Frank Waggoner,2005-07-28,2005-08-06
3268,4366,329,2,952,1,6,Documentary,7,2.99,17.99,Frank Waggoner,2005-06-21,2005-06-30
8460,2826,329,2,620,2,14,Sci-Fi,5,2.99,23.99,Frank Waggoner,2005-07-29,2005-08-07
2010,2845,329,1,624,1,10,Games,3,4.99,25.99,Frank Waggoner,2005-06-17,2005-06-21
4465,2877,329,2,631,1,15,Sports,4,0.99,11.99,Frank Waggoner,2005-07-08,2005-07-13
9827,3840,329,1,841,2,15,Sports,5,2.99,9.99,Frank Waggoner,2005-07-31,2005-08-09
4076,3148,329,1,691,1,15,Sports,6,4.99,29.99,Frank Waggoner,2005-07-07,2005-07-13
2151,407,329,1,90,1,13,New,3,0.99,11.99,Frank Waggoner,2005-06-17,2005-06-20
10490,4365,329,2,951,2,4,Classics,6,0.99,28.99,Frank Waggoner,2005-08-01,2005-08-03
7980,1019,329,1,228,2,4,Classics,4,0.99,16.99,Frank Waggoner,2005-07-28,2005-08-05
5870,1524,438,2,333,2,12,Music,7,2.99,16.99,Barry Lovelace,2005-07-10,2005-07-12
2206,3651,438,2,797,2,12,Music,7,0.99,23.99,Barry Lovelace,2005-06-18,2005-06-24
6138,1808,438,2,392,2,3,Children,5,4.99,13.99,Barry Lovelace,2005-07-11,2005-07-13
1431,3193,438,1,702,1,11,Horror,4,2.99,12.99,Barry Lovelace,2005-06-15,2005-06-21
4355,4557,438,2,995,1,11,Horror,5,4.99,11.99,Barry Lovelace,2005-07-07,2005-07-09
10607,3999,438,2,871,1,5,Comedy,6,4.99,19.99,Barry Lovelace,2005-08-01,2005-08-02
9782,2397,438,1,524,1,5,Comedy,6,0.99,13.99,Barry Lovelace,2005-07-31,2005-08-06
3368,548,438,1,119,2,5,Comedy,6,0.99,22.99,Barry Lovelace,2005-06-21,2005-06-23
6563,87,438,1,18,1,2,Animation,6,0.99,27.99,Barry Lovelace,2005-07-12,2005-07-21
9082,4042,438,2,880,1,2,Animation,6,2.99,9.99,Barry Lovelace,2005-07-30,2005-08-06
1138,3944,438,1,859,2,2,Animation,3,4.99,20.99,Barry Lovelace,2005-05-31,2005-06-05
8547,875,438,1,193,1,2,Animation,5,2.99,20.99,Barry Lovelace,2005-07-29,2005-08-03
23,4441,438,1,971,1,9,Foreign,4,4.99,11.99,Barry Lovelace,2005-05-25,2005-05-29
1036,2164,438,1,467,2,9,Foreign,6,0.99,10.99,Barry Lovelace,2005-05-31,2005-06-04
2591,4481,438,1,979,1,7,Drama,6,4.99,10.99,Barry Lovelace,2005-06-19,2005-06-25
1779,1044,438,1,233,1,16,Travel,3,0.99,17.99,Barry Lovelace,2005-06-16,2005-06-17
6615,23,438,1,5,2,8,Family,6,2.99,22.99,Barry Lovelace,2005-07-12,2005-07-20
4446,2629,438,1,576,2,6,Documentary,7,2.99,13.99,Barry Lovelace,2005-07-07,2005-07-13
7374,3184,438,2,698,2,6,Documentary,3,2.99,29.99,Barry Lovelace,2005-07-27,2005-08-05
7598,4545,438,2,992,2,6,Documentary,5,0.99,17.99,Barry Lovelace,2005-07-27,2005-07-29
3315,4108,438,1,893,2,14,Sci-Fi,4,4.99,11.99,Barry Lovelace,2005-06-21,2005-06-24
5426,251,438,1,56,2,1,Action,6,2.99,15.99,Barry Lovelace,2005-07-09,2005-07-17
7357,1917,438,2,417,1,1,Action,5,0.99,29.99,Barry Lovelace,2005-07-27,2005-08-02
5316,3856,438,1,844,1,15,Sports,6,4.99,16.99,Barry Lovelace,2005-07-09,2005-07-11
10512,3294,438,2,725,1,4,Classics,6,4.99,25.99,Barry Lovelace,2005-08-01,2005-08-09
9026,1524,423,1,333,2,12,Music,7,2.99,16.99,Alfred Casillas,2005-07-30,2005-08-01
7290,3652,423,1,797,2,12,Music,7,0.99,23.99,Alfred Casillas,2005-07-27,2005-08-01
1827,3804,423,2,833,2,3,Children,5,0.99,20.99,Alfred Casillas,2005-06-16,2005-06-19
7849,996,423,2,222,2,11,Horror,4,4.99,27.99,Alfred Casillas,2005-07-28,2005-08-06
4679,3610,423,2,789,1,9,Foreign,7,2.99,15.99,Alfred Casillas,2005-07-08,2005-07-15
7539,1849,423,1,403,1,7,Drama,5,4.99,18.99,Alfred Casillas,2005-07-27,2005-08-06
1504,3621,423,2,790,2,7,Drama,6,0.99,22.99,Alfred Casillas,2005-06-15,2005-06-24
3072,4131,423,2,897,2,7,Drama,3,4.99,27.99,Alfred Casillas,2005-06-20,2005-06-27
2600,469,423,2,103,2,16,Travel,7,4.99,27.99,Alfred Casillas,2005-06-19,2005-06-28
7141,3579,423,1,783,1,16,Travel,5,2.99,22.99,Alfred Casillas,2005-07-27,2005-08-01
8082,3089,423,2,679,1,8,Family,6,2.99,17.99,Alfred Casillas,2005-07-28,2005-08-04
8595,3225,423,2,708,2,6,Documentary,4,4.99,19.99,Alfred Casillas,2005-07-29,2005-08-07
6506,386,423,1,85,2,6,Documentary,4,0.99,29.99,Alfred Casillas,2005-07-12,2005-07-17
7157,1353,423,1,298,2,14,Sci-Fi,4,2.99,13.99,Alfred Casillas,2005-07-27,2005-08-02
7016,1425,423,2,312,2,14,Sci-Fi,4,4.99,20.99,Alfred Casillas,2005-07-27,2005-08-01
4105,439,423,1,97,1,1,Action,7,0.99,24.99,Alfred Casillas,2005-07-07,2005-07-09
10488,297,423,2,67,2,1,Action,5,2.99,24.99,Alfred Casillas,2005-08-01,2005-08-02
4250,2556,423,2,560,1,10,Games,6,0.99,21.99,Alfred Casillas,2005-07-07,2005-07-13
11091,1659,423,2,362,1,10,Games,7,2.99,13.99,Alfred Casillas,2005-08-02,2005-08-07
2758,3558,423,2,777,2,15,Sports,5,4.99,10.99,Alfred Casillas,2005-06-19,2005-06-26
4322,1522,568,1,333,1,12,Music,7,2.99,16.99,Alberto Henning,2005-07-07,2005-07-14
3227,1156,568,1,255,1,12,Music,6,4.99,21.99,Alberto Henning,2005-06-21,2005-06-27
8185,2452,568,1,535,1,11,Horror,6,0.99,21.99,Alberto Henning,2005-07-28,2005-07-31
3462,547,568,1,119,2,5,Comedy,6,0.99,22.99,Alberto Henning,2005-06-21,2005-06-28
9738,2278,568,2,493,2,9,Foreign,5,0.99,18.99,Alberto Henning,2005-07-31,2005-08-05
10340,3608,568,1,789,1,9,Foreign,7,2.99,15.99,Alberto Henning,2005-08-01,2005-08-06
9583,3543,568,2,775,1,7,Drama,4,4.99,18.99,Alberto Henning,2005-07-31,2005-08-06
1658,272,568,2,61,1,7,Drama,5,4.99,28.99,Alberto Henning,2005-06-16,2005-06-21
5776,3592,568,1,785,2,16,Travel,6,4.99,20.99,Alberto Henning,2005-07-10,2005-07-12
7068,4465,568,1,975,2,8,Family,6,2.99,22.99,Alberto Henning,2005-07-27,2005-07-30
10689,1442,568,2,315,2,8,Family,4,0.99,10.99,Alberto Henning,2005-08-01,2005-08-05
10869,2967,568,2,650,2,6,Documentary,3,0.99,27.99,Alberto Henning,2005-08-02,2005-08-04
2668,3127,568,2,687,2,6,Documentary,6,0.99,15.99,Alberto Henning,2005-06-19,2005-06-24
2382,915,568,2,203,2,14,Sci-Fi,5,4.99,9.99,Alberto Henning,2005-06-18,2005-06-20
5622,1783,568,2,387,2,10,Games,7,0.99,27.99,Alberto Henning,2005-07-10,2005-07-15
5332,3269,568,2,720,2,13,New,3,2.99,20.99,Alberto Henning,2005-07-09,2005-07-10
9493,1522,5,1,333,1,12,Music,7,2.99,16.99,Elizabeth Brown,2005-07-30,2005-08-08
1085,301,5,1,68,1,3,Children,5,4.99,26.99,Elizabeth Brown,2005-05-31,2005-06-07
731,4124,5,1,896,2,3,Children,3,0.99,10.99,Elizabeth Brown,2005-05-29,2005-05-30
1142,3998,5,1,870,2,11,Horror,4,0.99,12.99,Elizabeth Brown,2005-05-31,2005-06-05
1502,3277,5,2,722,2,11,Horror,5,0.99,26.99,Elizabeth Brown,2005-06-15,2005-06-23
10609,2587,5,2,568,1,5,Comedy,4,4.99,11.99,Elizabeth Brown,2005-08-01,2005-08-04
6685,1434,5,1,314,1,2,Animation,3,0.99,13.99,Elizabeth Brown,2005-07-12,2005-07-19
2570,1105,5,1,245,2,2,Animation,4,0.99,28.99,Elizabeth Brown,2005-06-19,2005-06-25
7652,92,5,2,18,2,2,Animation,6,0.99,27.99,Elizabeth Brown,2005-07-28,2005-07-30
